x1,index,title,abstract,store_id,article_type,authors,copyright,document_type,entry_date,issn,issue,language,language_of_summary,pages,place_of_publication,pubdate,pubtitle,year,volume,document_url,document_features,start_page,find_a_copy,database,date,filename,filepath
193,batch7_193.pdf,Movie Troubles—Past and Present,A NOTABLE figure in the motion-picture industry—a pioneer who is still one of the keenest observers of trends in the business—has written a letter which indicates that troubles far more serious than Communism face an industry which has never been distinguished in meeting emergencies.,1894113472,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 8, 1947",0028-9604,23,English,English,92,New York,"Dec 8, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/movie-troubles-past-present/docview/1894113472/se-2?accountid=14696,Photographs,92,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=23&amp;title=Newsweek&amp;spage=92&amp;date=1947-12-08&amp;atitle=Movie+Troubles%E2%80%94Past+and+Present&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-12-08,NA,NA
194,batch7_194.pdf,A Dark Horse of Another Color,"THE announced candidacy of Earl Warren for the Republican Presidential nomination materially alters the whole prenomination picture. If anyone, after carefully examining what the taciturn governor of California said, expects this to be just another favoriteson candidacy, he has an imperfect notion of Californians in general and of Warren's supporters in particular.",1894113514,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 1, 1947",0028-9604,22,English,English,96,New York,"Dec 1, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/dark-horse-another-color/docview/1894113514/se-2?accountid=14696,Photographs,96,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=22&amp;title=Newsweek&amp;spage=96&amp;date=1947-12-01&amp;atitle=A+Dark+Horse+of+Another+Color&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-12-01,NA,NA
195,batch7_195.pdf,Bob Taft's Lack of Color,"CINCINNATI—The most acute migraine suffered by those who are laboring to make Sen. Robert A. Taft the next Republican nominee for President is caused by no issue of logic or reason. It is caused by the problem of how to destroy a national cliche, as commonly spoken in this Federal union as complaints about the weather.",1894121025,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 24, 1947",0028-9604,21,English,English,100,New York,"Nov 24, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/bob-tafts-lack-color/docview/1894121025/se-2?accountid=14696,Photographs,100,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=21&amp;title=Newsweek&amp;spage=100&amp;date=1947-11-24&amp;atitle=Bob+Taft%27s+Lack+of+Color&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-11-24,NA,NA
196,batch7_196.pdf,Dumb Devils and Dumb Reformers,"IN the eleventh chapter of St. Luke, there is an account of the casting out of a devil that was dumb. There is also an immortal commentary on the general practice of casting out devils —dumb and otherwise. The point made is that, unless the caster-outers of devils are wise, the quarters cleaned and vacated will also be occupied by seven spirits more unclean than the one which was cast out.",1894115302,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 17, 1947",0028-9604,20,English,English,104,New York,"Nov 17, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/dumb-devils-reformers/docview/1894115302/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=20&amp;title=Newsweek&amp;spage=104&amp;date=1947-11-17&amp;atitle=Dumb+Devils+and+Dumb+Reformers&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-11-17,NA,NA
197,batch7_197.pdf,The Red Feather,EUROPEANS who are anxious to save themselves from the police state might well survey a peculiarly American institution which is front-page news in most of our great cities in these autumn days. They would learn that it isn't mere wealth or productive capacity that makes us powerful.,1894123497,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 3, 1947",0028-9604,18,English,English,96,New York,"Nov 3, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/red-feather/docview/1894123497/se-2?accountid=14696,Photographs,96,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=18&amp;title=Newsweek&amp;spage=96&amp;date=1947-11-03&amp;atitle=The+Red+Feather&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-11-03,NA,NA
198,batch7_198.pdf,The Propheteers Were Wrong,"WHAT has happened to the depression which our economic propheteers were predicting last spring? The propheteers are still at the old stands, selling advice, but what they sold with the first violets makes strange reading now. The storm signals were out as early as January.",1894120462,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 27, 1947",0028-9604,17,English,English,104,New York,"Oct 27, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/propheteers-were-wrong/docview/1894120462/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=17&amp;title=Newsweek&amp;spage=104&amp;date=1947-10-27&amp;atitle=The+Propheteers+Were+Wrong&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-10-27,NA,NA
199,batch7_199.pdf,The Banner With a Strange Device,"I REMEMBER being once much amused at seeing two partially intoxicated men engaged in a fight with greatcoats on, which fight, after a long and rather harmless contest, ended in each having fought himself out of his own coat and into that of the other."" Abraham Lincoln used this story to illustrate the ideological shift in American parties from Jefferson to Buchanan.",1894115208,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 20, 1947",0028-9604,16,English,English,104,New York,"Oct 20, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/banner-with-strange-device/docview/1894115208/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=16&amp;title=Newsweek&amp;spage=104&amp;date=1947-10-20&amp;atitle=The+Banner+With+a+Strange+Device&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-10-20,NA,NA
200,batch7_200.pdf,Dewey's Views on the Issues,FROM time to time this column has reported that Republican politicians in various states have manifested impatience about Governor Dewey's silence on public issues. Their disappointment relates to the fact that he did not endorse or commend the 1947 record of his party in Congress.,1894145490,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 13, 1947",0028-9604,15,English,English,96,New York,"Oct 13, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/deweys-views-on-issues/docview/1894145490/se-2?accountid=14696,Photographs,96,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=15&amp;title=Newsweek&amp;spage=96&amp;date=1947-10-13&amp;atitle=Dewey%27s+Views+on+the+Issues&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-10-13,NA,NA
201,batch7_201.pdf,Government by Thespians,"REGARDLESS of what may eventually be done about radio crime shows or the length and loudness of commercials, something should be done before l948 about the dramatization of controversial public issues over the air. Or else the conventions should nominate the best available script writers or crooners for President.",1796834410,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Sep 29, 1947",0028-9604,13,English,English,100,New York,"Sep 29, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/government-thespians/docview/1796834410/se-2?accountid=14696,Photographs,100,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=13&amp;title=Newsweek&amp;spage=100&amp;date=1947-09-29&amp;atitle=Government+by+Thespians&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-09-29,NA,NA
202,batch7_202.pdf,The Eisenhower Situation,"THE time has come to stop annoying General Eisenhower with questions about his availability for the Presidency. He has said all that Americans are entitled to expect. In fact, his patience with reporters has already led him to say more than the circumstances require. The event is in the hands of the American people, of their political leaders and of the inscrutable circumstances of the next nine months.",1807296246,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Sep 22, 1947",0028-9604,12,English,English,100,New York,"Sep 22, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/eisenhower-situation/docview/1807296246/se-2?accountid=14696,Photographs,100,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=12&amp;title=Newsweek&amp;spage=100&amp;date=1947-09-22&amp;atitle=The+Eisenhower+Situation&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-09-22,NA,NA
203,batch7_203.pdf,All Limbs and No Trunk,"APOLITICAL party, according to Edmund Burke, is ""a body of men united, for promoting by their joint endeavors the national interest, upon some particular in which they are all agreed."" What is currently called the Republican party is a group of candidates disunited, promoting in their several ways their personal interests, upon principles, mostly undisclosed, which have neither common roots nor objectives To use a horticultural figure, it is a collection of sap-laden and ambitious branches.",1924010250,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Sep 15, 1947",0028-9604,11,English,English,96,New York,"Sep 15, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/all-limbs-no-trunk/docview/1924010250/se-2?accountid=14696,Photographs,96,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=11&amp;title=Newsweek&amp;spage=96&amp;date=1947-09-15&amp;atitle=All+Limbs+and+No+Trunk&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-09-15,NA,NA
204,batch7_204.pdf,The Autocracy of Good Judgment,"THE Borough and County of Bronx stretches from Long Island Sound westward to the Hudson River. It is the home of more than a million and a half of New York City's population. These people represent a bewildering miscellany of racial, national and religious strains. Every conceivable problem common to city life in America is there.",1850817749,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Sep 8, 1947",0028-9604,10,English,English,88,New York,"Sep 8, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/autocracy-good-judgment/docview/1850817749/se-2?accountid=14696,Photographs,88,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=10&amp;title=Newsweek&amp;spage=88&amp;date=1947-09-08&amp;atitle=The+Autocracy+of+Good+Judgment&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-09-08,NA,NA
205,batch7_205.pdf,The Land Is Bright,"PEORIA—A long automobile trip such as this observer is completing would, I am sure, be fatal to a professional viewer-with-alarm. He might survive the stress of spotty weather, crowded lodgings, highway reconstruction and high prices. But his nerves would crack before the indifference of the great American public to all warnings of perilous trends, of impending crises and of menacing doom.",1807291735,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Sep 1, 1947",0028-9604,9,English,English,84,New York,"Sep 1, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/land-is-bright/docview/1807291735/se-2?accountid=14696,Photographs,84,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=9&amp;title=Newsweek&amp;spage=84&amp;date=1947-09-01&amp;atitle=The+Land+Is+Bright&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-09-01,NA,NA
206,batch7_206.pdf,Hollywood's War With England,"LOS ANGELES—What there is left of the optimism which created the movie industry now finds expression in the refrain: ""England's going to be sorry for this blow!"" It might be added that an excess of the same optimism prevented the industry from anticipating the blow. It was believed here, up to the moment that Prime Minister Attlee announced an ad valorem tax of 75 per cent on American films, that a compromise would be arranged.",1807293404,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 25, 1947",0028-9604,8,English,English,84,New York,"Aug 25, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/hollywoods-war-with-england/docview/1807293404/se-2?accountid=14696,Photographs,84,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=8&amp;title=Newsweek&amp;spage=84&amp;date=1947-08-25&amp;atitle=Hollywood%27s+War+With+England&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-08-25,NA,NA
207,batch7_207.pdf,California—No Vacancy,"Los ANGELES—If all the people who favor Harold Stassen for President but are worried about his chances—if all these people were laid end to end, cold feet on furrowed brows, the Minnesota man would have a pathway to the White House. This becomes more and more evident to me as I travel from one state to another.",1882530386,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 18, 1947",0028-9604,7,English,English,84,New York,"Aug 18, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/california-no-vacancy/docview/1882530386/se-2?accountid=14696,Photographs,84,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=7&amp;title=Newsweek&amp;spage=84&amp;date=1947-08-18&amp;atitle=California%E2%80%94No+Vacancy&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-08-18,NA,NA
208,batch7_208.pdf,Northwestern Notes,"PORTLAND, ORE.—When Wendell Willkie, in a few torrid hours at the 1940 Republican convention in Philadelphia, smashed through to the nomination, the northwestern states stood by Thomas E. Dewey almost to the last. Dewey is still liked and respected in these states. That was made evident to me in my stopovers on this trip in Wisconsin, Minnesota, Montana, Washington and Oregon.",1807293434,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 11, 1947",0028-9604,6,English,English,92,New York,"Aug 11, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/northwestern-notes/docview/1807293434/se-2?accountid=14696,Photographs,92,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=6&amp;title=Newsweek&amp;spage=92&amp;date=1947-08-11&amp;atitle=Northwestern+Notes&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-08-11,NA,NA
209,batch7_209.pdf,Politics in Wisconsin and Minnesota,"MINNEAPOLIS—At this late date, Harold Stassen is still the only frankly declared candidate for President. Another distinction he shares with Senator Taft. He is outspoken. People like him for that, although some of his friends in Minnesota feel he has said a few things which it would have been wiser to have left unsaid.",1807292525,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 4, 1947",0028-9604,5,English,English,96,New York,"Aug 4, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/politics-wisconsin-minnesota/docview/1807292525/se-2?accountid=14696,Photographs,96,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=5&amp;title=Newsweek&amp;spage=96&amp;date=1947-08-04&amp;atitle=Politics+in+Wisconsin+and+Minnesota&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-08-04,NA,NA
210,batch7_210.pdf,The Dewey Bandwagon,"BANDWAGON days are here again. Stassen's bus is now well broken in, and it will put on plenty of mileage in the next few months. The Taft Life-With-Father model is coming out of storage. There will be many others, and by 1948 the traffic will clog all the roads to Philadelphia. At the moment, we are concerned with the Dewey shining-armor job—with muffler attached.",1796834717,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jul 28, 1947",0028-9604,4,English,English,88,New York,"Jul 28, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/dewey-bandwagon/docview/1796834717/se-2?accountid=14696,Photographs,88,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=4&amp;title=Newsweek&amp;spage=88&amp;date=1947-07-28&amp;atitle=The+Dewey+Bandwagon&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-07-28,NA,NA
211,batch7_211.pdf,Is Truman Really President?,"OUR united and assorted states have lived with their old Constitution a long time, and they still love it. But they have found in it glaring ambiguities and omissions. For instance, it would seem that the very important matter of who should succeed to the Presidency, if the person holding that office should meet one of the many fates to which our flesh is heir, could be put into understandable language.",1807292306,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jul 14, 1947",0028-9604,2,English,English,92,New York,"Jul 14, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/is-truman-really-president/docview/1807292306/se-2?accountid=14696,Photographs,92,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=2&amp;title=Newsweek&amp;spage=92&amp;date=1947-07-14&amp;atitle=Is+Truman+Really+President%3F&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-07-14,NA,NA
212,batch7_212.pdf,Columbia's Commander-in-Chief,"OF the twelve men who held the office to which General Eisenhower has been elected, four were clergymen, four were teachers, two were lawyers and two, who were men of wealth, were civic leaders. Four of the most notable of these twelve—William Samuel Johnson, Charles King, Seth Low and Nicholas Murray Butler—were deeply interested in politics.",1807291673,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jul 7, 1947",0028-9604,1,English,English,100,New York,"Jul 7, 1947",Newsweek,1947,30,https://www.proquest.com/magazines/columbias-commander-chief/docview/1807291673/se-2?accountid=14696,Photographs,100,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=30&amp;issue=1&amp;title=Newsweek&amp;spage=100&amp;date=1947-07-07&amp;atitle=Columbia%27s+Commander-in-Chief&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-07-07,NA,NA
213,batch7_213.pdf,Mr. Farley Lives and Learns,"JAMES A. FARLEY'S current series in Collier's, ""Why I Broke With Roosevelt,"" reveals a trait which has remained firm in the former National Chairman in all his years of growth and change. It is a compulsion to tell the truth. Farley's conversational habits constantly betray this inner urge.",1894144993,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jun 30, 1947",0028-9604,26,English,English,84,New York,"Jun 30, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/mr-farley-lives-learns/docview/1894144993/se-2?accountid=14696,Photographs,84,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=26&amp;title=Newsweek&amp;spage=84&amp;date=1947-06-30&amp;atitle=Mr.+Farley+Lives+and+Learns&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-06-30,NA,NA
214,batch7_214.pdf,Deterioration in Higher Education,"COLLEGE commencements remind us that somehow, somewhere, unprecedented masses of students have lived through the winter. Somehow, they have been able to put in the prescribed number of hours in classrooms, laboratories and libraries. But the shacks and rookeries in which many have lived and studied are only the external marks of deeper inadequacies.",1882536994,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jun 23, 1947",0028-9604,25,English,English,92,New York,"Jun 23, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/deterioration-higher-education/docview/1882536994/se-2?accountid=14696,Photographs,92,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=25&amp;title=Newsweek&amp;spage=92&amp;date=1947-06-23&amp;atitle=Deterioration+in+Higher+Education&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-06-23,NA,NA
215,batch7_215.pdf,What Hague Has Joined Together,"THE best ^political story I ever read is ""Malachi Nolan,"" a short sketch by Brand Whitlock, who knew his Chicago, Springfield and Toledo. It portrays a ward boss who, in his mellow and opulent years, was persuaded by his daughter to quit and pay a visit to Limerick.",1883534339,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jun 16, 1947",0028-9604,24,English,English,104,New York,"Jun 16, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/what-hague-has-joined-together/docview/1883534339/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=24&amp;title=Newsweek&amp;spage=104&amp;date=1947-06-16&amp;atitle=What+Hague+Has+Joined+Together&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-06-16,NA,NA
216,batch7_216.pdf,Can Truman Win in 1948?,THE current optimism of Democrats as they look toward 1948 seems to be based on polls showing a rise in Truman's popularity. That rise is no doubt due to his firm stand against John L. Lewis: to the excellence of some of his appointments; to his steady following o a fairly conservative line in domestic affairs; and to his generally dignified and modest air as he goes about his business.,1882536686,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jun 9, 1947",0028-9604,23,English,English,100,New York,"Jun 9, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/can-truman-win-1948/docview/1882536686/se-2?accountid=14696,Photographs,100,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=23&amp;title=Newsweek&amp;spage=100&amp;date=1947-06-09&amp;atitle=Can+Truman+Win+in+1948%3F&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-06-09,NA,NA
217,batch7_217.pdf,'The Way of the South',ATLANTA—For more than a century the South has revealed to the rest of the country a simple basic lesson in government. And the rest of the country seems to have been unable to understand it. That lesson is that the United States is too big for a centralized government and that the states are too small to accommodate an expanding economy and culture.,1850816357,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jun 2, 1947",0028-9604,22,English,English,92,New York,"Jun 2, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/way-south/docview/1850816357/se-2?accountid=14696,Photographs,92,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=22&amp;title=Newsweek&amp;spage=92&amp;date=1947-06-02&amp;atitle=%27The+Way+of+the+South%27&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-06-02,NA,NA
218,batch7_218.pdf,The New Under Secretary of State,"ROBERT A. LOVETT, chosen by the President and Secretary Marshall as Under Secretary of State, has an unusual distinction. Of all the men in Washington and abroad who contributed great, leadership to the war effort. Lovett was least publicized. A terrific literature grew in the press and in books about soldiers, sailors and officials, high and low.",1882537700,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"May 26, 1947",0028-9604,21,English,English,104,New York,"May 26, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/new-under-secretary-state/docview/1882537700/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=21&amp;title=Newsweek&amp;spage=104&amp;date=1947-05-26&amp;atitle=The+New+Under+Secretary+of+State&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-05-26,NA,NA
219,batch7_219.pdf,Politics and the Labor Bills,"The demands of politics are present in the current labor pains of Congress. The election year 1948 is a reality, and politicians are realists. But the long record of the Senate debate shows less demagoguery than is usual in such important legislation. As might be expected, the quality of the Senate debate is much higher than that which characterized the passage of the House labor bill.",1796834740,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"May 19, 1947",0028-9604,20,English,English,112,New York,"May 19, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/politics-labor-bills/docview/1796834740/se-2?accountid=14696,Photographs,112,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=20&amp;title=Newsweek&amp;spage=112&amp;date=1947-05-19&amp;atitle=Politics+and+the+Labor+Bills&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-05-19,NA,NA
220,batch7_220.pdf,The Propheteers,"All over the world voices are predicting a depression in America. These voices speak in many tongues, from Chinese to Gaelic. Some are sad; some ring with eager expectation. We sit in the midst of a vigil, and we are the prospective corpse. The persistence of this death watch since the end of the war suggests the man who followed a circus all over Europe.",1796834511,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"May 12, 1947",0028-9604,19,English,English,112,New York,"May 12, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/propheteers/docview/1796834511/se-2?accountid=14696,Photographs,112,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=19&amp;title=Newsweek&amp;spage=112&amp;date=1947-05-12&amp;atitle=The+Propheteers&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-05-12,NA,NA
221,batch7_221.pdf,Who'll Be Who in 1948?,"It must be a terrible job, since only one man in the world says he wants it. Harold Stassen is our only avowed candidate for President. Other eligibles have devised nice formulas of limited renunciation. Some are silent. But nobody else is silent.",1882514034,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"May 5, 1947",0028-9604,18,English,English,104,New York,"May 5, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/wholl-be-who-1948/docview/1882514034/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=18&amp;title=Newsweek&amp;spage=104&amp;date=1947-05-05&amp;atitle=Who%27ll+Be+Who+in+1948%3F&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-05-05,NA,NA
222,batch7_222.pdf,Recapping the World,"MONTREAL—The great interest of Canadian people in the Truman Doctrine is due to something much more vital than propinquity. It rises from basic similarities in our economic systems. In the great epochs in which civilizations rise and decline, Canada and the United States are in the same general span.",1796831254,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Apr 28, 1947",0028-9604,17,English,English,108,New York,"Apr 28, 1947",Newsweek,1947,29,https://www.proquest.com/magazines/recapping-world/docview/1796831254/se-2?accountid=14696,Photographs,108,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=29&amp;issue=17&amp;title=Newsweek&amp;spage=108&amp;date=1947-04-28&amp;atitle=Recapping+the+World&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1947-04-28,NA,NA
