Title,Subtitle,Author,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,DocumentUrl,DOI
The Critical Campaign in Ohio,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/26/1960,26-Aug-60,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167679189?accountid=14696&bdid=91914&_bd=Q9HsNuP8sbNSLXXmI6r7O10mlCM%3D,
Connally Amendment an Emotional Issue,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/6/1960,6-Apr-60,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167558609?accountid=14696&bdid=91914&_bd=TG0RvwapDrqeMPGa1b%2BxD0KPFzY%3D,
N.Y. Democrats Let Republicans 'Live',,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/23/1960,23-Apr-60,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167669948?accountid=14696&bdid=91914&_bd=SWEyJu1qlZcka5FAqgcj8%2FeauGk%3D,
U.S. May Parallel Laborite Turmoil,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/3/1960,3-Jul-60,B2,,,4583035,,,ENG,https://www.proquest.com/docview/167697792?accountid=14696&bdid=91914&_bd=%2F%2BbVQOuvlJknGpFijkRJcdcelf4%3D,
Low Interest Rates Upset Budget Equity,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/10/1959,10-Feb-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167407776?accountid=14696&bdid=91914&_bd=bg%2BJaRLseO%2B3s0w5epd5eIS20o0%3D,
Khrushchev's Muscle-Flexing Bares Flabby Tone of Kremlin's Strength,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/8/1959,8-Mar-59,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/167478692?accountid=14696&bdid=91914&_bd=6YihDF7YRBEu6MAeRANBUCPMnFc%3D,
The New St. Lawrence River Dam: Another Honor for Robert Moses,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/7/1959,7-Jul-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167455291?accountid=14696&bdid=91914&_bd=bSBOskPZ9yT0jG7WEBqZdk7qmrM%3D,
Russian-Made School Equipment Has No Legitimate Place in U.S.,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/2/1959,2-Jul-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167447394?accountid=14696&bdid=91914&_bd=gYLzx9R%2FsS%2BAacJ%2Fucu41EBHkYM%3D,
Our Heavily Mortgaged Future and the Prospect of More Debt,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/3/1959,3-Dec-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167598224?accountid=14696&bdid=91914&_bd=SvmNKMMePJ%2BZTY8Vas9%2B8%2FDiSy0%3D,
John Foster Dulles Deserves the Prayerful Thanks of America,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/21/1959,21-Apr-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167489748?accountid=14696&bdid=91914&_bd=UxJUtSnXBdlFbO%2FMIPh%2BvnXU4JA%3D,
Local Goodwill Is the Source of a Party's National Strength,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/1/1959,1-Dec-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167555985?accountid=14696&bdid=91914&_bd=n6PX2SzHZe4lm7C4RUX5z3p6Vgg%3D,
'Liberal' Frustration and the Housing Bill,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/25/1959,25-Apr-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167420759?accountid=14696&bdid=91914&_bd=%2B93Wei0YPZHCylKAfcOAjaraT7g%3D,
The Politics Behind the 'Oil Trust' Suits,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/23/1960,23-Jan-60,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167575638?accountid=14696&bdid=91914&_bd=Fo%2FCd%2FhHB3fJcLH4e6tmkQzlZck%3D,
Seeds of North-South Division Sowed in Post-Civil War Corruption,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/5/1959,5-Mar-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167456306?accountid=14696&bdid=91914&_bd=hYTcFInly6FtGHkJkNdPnf5rZcE%3D,
Local Control of Government Aid Funds Curbs Welfare State Evils,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/9/1959,9-Jun-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167512457?accountid=14696&bdid=91914&_bd=ocBRt9Q3XnMgORs%2BnZZl8%2BJQxNo%3D,
Role of the States in Anti-Subversion,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/27/1959,27-Jun-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167435315?accountid=14696&bdid=91914&_bd=d47hqg%2BcYrUhpKrgytRrigR%2BrC4%3D,
Amendment Limiting Presidential Terms to Two Has Sound Bases,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/15/1959,15-Mar-59,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/167441839?accountid=14696&bdid=91914&_bd=6kxHfJBFlBHZgwkRgTnt0GC%2B53U%3D,
Congress Battle Looms Over Oil Depletion Allowance Reduction,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/1/1959,1-Mar-59,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/167409843?accountid=14696&bdid=91914&_bd=wUthhrw%2Bk4jRjYkkH3JsuwzNC3I%3D,
Virginia Citizens' Group Tries Unique Segregation Experiment,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/22/1959,22-Feb-59,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/167405488?accountid=14696&bdid=91914&_bd=tuWtJHDkjh3znwttJvhW8q1K2lE%3D,
Democratization of Japan Opens Door to Communist Subversion,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/27/1959,27-Apr-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167483639?accountid=14696&bdid=91914&_bd=nsi0WYFBgaHNBZQZqwI1uVXKzQE%3D,
President Displays Courage and Wisdom,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/23/1959,23-Jan-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167398587?accountid=14696&bdid=91914&_bd=ksT41bsNUWvnJ%2BJxcHNyGD5vzTU%3D,
The Barenblatt Decision: Court's New Posture Bolsters Our Security,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/15/1959,15-Jun-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167457408?accountid=14696&bdid=91914&_bd=EacPNQ3Sp%2BNMHyUYnhs%2Fvxd30FM%3D,
Our Dedicated Teachers Deserve Our Respect and Our Gratitude,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/15/1960,15-Jan-60,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167664999?accountid=14696&bdid=91914&_bd=SKWvrnnAgQjdXbgyhn3CaEAV%2BLM%3D,
Mr. Ford's Lavish Party Remindful of What Mr. Veblen Had to Say,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/30/1959,30-Dec-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167634130?accountid=14696&bdid=91914&_bd=YXgD4M%2Bm7sV%2BYKvnxOlywY7GZyI%3D,
Ironic Fate Dooms a Presidential Hope,,"Moley, Raymond; Moley, Raymond, Jr",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/28/1959,28-Nov-59,B4,,B4,4583035,,,ENG,https://www.proquest.com/docview/167550861?accountid=14696&bdid=91914&_bd=cu4uPiY1vFzk1coxkhSXjSm1OqM%3D,
The Eastland Bill: It Would End Confusion on Subversion Laws,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/23/1959,23-Jun-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167522661?accountid=14696&bdid=91914&_bd=qDna2mnHE0IxxEOEsXH1WrvmGgI%3D,
Choice of Education Right of Americans,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/14/1959,14-Feb-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167384341?accountid=14696&bdid=91914&_bd=zZAzH3NzAZmIrs2RIje6FVzjUpI%3D,
Japan's Internal Security Forces Unable to Cope With Subversion,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/28/1959,28-Apr-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167528481?accountid=14696&bdid=91914&_bd=z1GPQxyNcG8F9guiLa9LCCQtceo%3D,
"Sen. Lyndon Johnson Ready, Able, Willing",,"Moley, Raymond, Jr",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/2/1959,2-Oct-59,B4,,B4,4583035,,,ENG,https://www.proquest.com/docview/167540472?accountid=14696&bdid=91914&_bd=txkPw56twV3ECWL1JHUnpIbh5NQ%3D,
Union Local Supports Private Segregated School in Virginia,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/24/1959,24-Feb-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167439871?accountid=14696&bdid=91914&_bd=%2BZMXRhejNXKaxPnP28ist4LSF%2B8%3D,
False Economy Can Threaten Security,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/17/1959,17-Mar-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167451263?accountid=14696&bdid=91914&_bd=wvCGdrhwwwJZacEkJSdkOITqw7k%3D,
"Federal Interstate Highway Plan Is in Trouble on Taxes, Inflation",,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/18/1959,18-May-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167434895?accountid=14696&bdid=91914&_bd=1Jm59957UTybzOJtp1Jc5W5b3ck%3D,
U.S. Stands Firm on Shipping Policy,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/20/1959,20-Jun-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167510253?accountid=14696&bdid=91914&_bd=IQ38eA6KXv6IwpM48YRBxk%2FE1bA%3D,
Louisiana Election Loaded With Drama,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/9/1960,9-Jan-60,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167573746?accountid=14696&bdid=91914&_bd=hX7s%2FZ0XXxIGK1GBVSVmimXtsVw%3D,
A Costly Federal Power Project to Compete With Private Firms,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/4/1959,4-Aug-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167495251?accountid=14696&bdid=91914&_bd=z6ICWyczSZCqPXCEtNNBQbDfM0s%3D,
Conservatives Well Organized for British Election Next Month,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/14/1959,14-Sep-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167522998?accountid=14696&bdid=91914&_bd=2yqh4hJhlPPqnf0XuKWcRS8ocDA%3D,
Bill Extending TVA's Monopoly Position May Not Be 'Veto Proof',,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/16/1959,16-Jul-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167469314?accountid=14696&bdid=91914&_bd=0JcWMv%2BXI2SsX1j5s%2BbNjn28RBY%3D,
Election Contributions by Unions Indicate Democratic Party Control,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/18/1959,18-Jun-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167423004?accountid=14696&bdid=91914&_bd=l4atm8o0eI82s9C1u0AFZHVKG6w%3D,
Personal Gain From Public Funds Wins Sanction of CCC 'Liberals',,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/20/1959,20-May-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167506227?accountid=14696&bdid=91914&_bd=kwAF2sthoXiZNbsFRyswO1S0QXk%3D,
Rockefeller Decision to Withdraw Was Reached After Long Thought,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/1/1960,1-Jan-60,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167533137?accountid=14696&bdid=91914&_bd=eiIUC4XUvivhIhD%2BkHXWsnuF0%2Fg%3D,
Opposition to Strauss Is Based on Motives Unworthy of Senators,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/29/1959,29-May-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167507793?accountid=14696&bdid=91914&_bd=rZVIDkaNTr71sct3LK7%2Ftx3Sy9I%3D,
Union Local Supports Private Segregated School in Virginia,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/24/1959,24-Feb-59,F5,,,4583035,,,ENG,https://www.proquest.com/docview/167411890?accountid=14696&bdid=91914&_bd=W7LbEwpQMsNiHao4tpY4mTbYU2w%3D,
Socialist Labor Leaders: a Threat to Union Members and the Nation,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/16/1959,16-Jun-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167454622?accountid=14696&bdid=91914&_bd=fPg%2Bz3HWTH4Mb4Fn3WRQXOGgxpE%3D,
Red Propaganda Fairs Are Fooling People Who Should Know Better,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/9/1959,9-Jul-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167499335?accountid=14696&bdid=91914&_bd=CkWU5%2Fr4Kzrb7s0fKBEUKx6l%2BWg%3D,
Omnibus Housing Bill Provides a Bonanza for Special Interests,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/22/1959,22-May-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167452721?accountid=14696&bdid=91914&_bd=VpHMIDA1xYFzEyiQrlbM4Mib8ic%3D,
Many Subtle Considerations Will Influence the Big Events of 1960,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/8/1960,8-Jan-60,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167581373?accountid=14696&bdid=91914&_bd=ARR%2FXh8kEa%2BEL4cyGAOnbcLiqjc%3D,
Nixon Escapes Responsibility for Khrushchev Visit to U.S.,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/17/1959,17-Aug-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167505490?accountid=14696&bdid=91914&_bd=%2B1PNWv59c5yg6M7il%2FXK8BcciRo%3D,
"Drug Firms Need Investigating, but Kefauver Isn't the Right Man",,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/29/1959,29-Dec-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167601665?accountid=14696&bdid=91914&_bd=hroTXxBqDQNW5xCTHGTiKyWhrUo%3D,
U. S.-Housing Handouts Creating New Class of Rich From the Idle,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/12/1960,12-Jan-60,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167563156?accountid=14696&bdid=91914&_bd=Jh609bHa4VCSOerO%2BCSTy6RYs7I%3D,
"Problems of the Elderly: Forced Retirement, the Inflationary Spiral",,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/1/1959,1-Sep-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167543326?accountid=14696&bdid=91914&_bd=4f%2BHaMOw2wlV0tOb1GxKL142pKU%3D,
A $50 Million Medical Proposal With Some Socialistic Overtones,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/21/1959,21-Jul-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167457986?accountid=14696&bdid=91914&_bd=gxOUuTU%2BiqCBJTKK5iYnKqutoSM%3D,
Kennedy Could Lose Support of Unions,,WITH RAYMOND MOLEY JR,Los Angeles Times (1923-1995),Historical Newspapers,,,,10/20/1959,20-Oct-59,B4,,B4,4583035,,,ENG,https://www.proquest.com/docview/167561411?accountid=14696&bdid=91914&_bd=08PDJV9utWCZgTNJ2KUMpwSlmoE%3D,
Subsidized Housing Raid on Taxpayers,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/20/1959,20-Mar-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167377640?accountid=14696&bdid=91914&_bd=YOdso0uJK11BcL1WFdTSXkmO%2BAU%3D,
Congress Invites Disaster Through Failure to Act on Interest Rates,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/17/1959,17-Sep-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167533084?accountid=14696&bdid=91914&_bd=OWrc2c7dOyWu%2FOAZ8a%2FaAaSHBQo%3D,
New York's Democratic Machine Is in Graft Trouble Once More,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/22/1960,22-Jan-60,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167628391?accountid=14696&bdid=91914&_bd=2h6X047DWlURTPGtrdxfONLaX9Q%3D,
New Governors Must Face Up to Promises,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/12/1959,12-Feb-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167424724?accountid=14696&bdid=91914&_bd=81h%2BVA%2B%2BS5lVfwZiDge2fBrf8rA%3D,
Charlottesville School System Is an Example of Local Initiative,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/22/1959,22-Dec-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167612269?accountid=14696&bdid=91914&_bd=10MaskARXp%2B9rFrNgIvL9BdT7a8%3D,
"George Meany, as a Politician, Lacks the Virtue of Consistency",,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/27/1959,27-May-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167534856?accountid=14696&bdid=91914&_bd=Pg1wwUlMwPCp7s9Mtat3I0yGsRA%3D,
The Taft Memorandum Points Up Some Still-Valid Political Truths,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/7/1959,7-Dec-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167614836?accountid=14696&bdid=91914&_bd=IWlduxIhZQa2ef2bH4NuUZxojxQ%3D,
Sen. Harry F. Byrd vs. the Profligates,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/2/1960,2-Jan-60,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167638510?accountid=14696&bdid=91914&_bd=iWddhOvZa%2F6LI99YFccMYad8w24%3D,
Mr. Nixon Gives Mr. Khrushchev the Facts of American Thinking,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,7/28/1959,28-Jul-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167500352?accountid=14696&bdid=91914&_bd=h2nedW0z%2Fk5FIrXLghsemG3oJWs%3D,
The Keogh-Simpson Tax Incentive Proposal for the Self-Employed,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/18/1959,18-Aug-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167515955?accountid=14696&bdid=91914&_bd=%2Fya0Dc%2FJuQGNXM8XkHgpklG%2B0Ig%3D,
Federal Urban Renewal 'Liberals' Offer Windfalls to Wealthy Few,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/15/1959,15-May-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167435212?accountid=14696&bdid=91914&_bd=CekQ674LWV8qPBpsAgCfLl0hd00%3D,
Japan Nearing Two-Party System With Conservatives Holding Edge,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/12/1959,12-Apr-59,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/167496479?accountid=14696&bdid=91914&_bd=tShQo%2FV%2FBLVGIvsnXHqETuLlBJU%3D,
Proposal Jeopardizes Independence of FRB,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/3/1959,3-Feb-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167429364?accountid=14696&bdid=91914&_bd=Ot1fn9drpV06KVMzN3a6ZRcmaQM%3D,
TELEVISION'S DUAL ROLE,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/2/1959,2-Feb-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167460566?accountid=14696&bdid=91914&_bd=rGNFAjl5AxURZPtTz9xP20Y3j%2Fs%3D,
Japanese Minister Firm Friend of U.S.,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,4/18/1959,18-Apr-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167498263?accountid=14696&bdid=91914&_bd=eu8MUfDhzV%2BvqOaFhlJ8YFNQXHM%3D,
Pattern of Government Monopoly Emerging in Columbia Basin,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,8/14/1959,14-Aug-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167464765?accountid=14696&bdid=91914&_bd=xfw3jKKz2Fz09HLGCZ0G8StMBbc%3D,
British Attacks on U.S. Merchant Marine Policies Strain Relations,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/15/1959,15-Feb-59,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/167466702?accountid=14696&bdid=91914&_bd=pLkhBov45OFJU2jbpTvvKhoUk4s%3D,
Per Capita Drinking in U.S. Takes a Drop,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/5/1960,5-Jan-60,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167590420?accountid=14696&bdid=91914&_bd=yachPFnP1OnXuBK39eJTjVXHVik%3D,
The Absurd Reality of Deficit Spending,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/9/1959,9-May-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167400380?accountid=14696&bdid=91914&_bd=vZZ7Bnu3SyZD26aJqqqR7Gb2UYw%3D,
Republican Platform Responsibility of All,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/29/1959,29-Jan-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167423780?accountid=14696&bdid=91914&_bd=spgtD1e2pUteITrAYKzoRNsdDho%3D,
Japan Affirms U.S. Friendship as Conservatives Win Election,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/11/1959,11-Jun-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167443798?accountid=14696&bdid=91914&_bd=SmohGzN%2FhBOddktgkBE5nF1xh%2Bg%3D,
British Election Decided in Local Areas by Door-to-Door Workers,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/13/1959,13-Oct-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167527349?accountid=14696&bdid=91914&_bd=7k9cddi3zoGFUOjIjAqVbyQiC6Y%3D,
The Hawaiian Primaries: Racial Groupings and Labor's Power,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,6/25/1959,25-Jun-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167416682?accountid=14696&bdid=91914&_bd=toxi4RogNSc79Iz6D4%2BBnA2CjBk%3D,
'Sweetheart' Laws and Harry Bridges,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/2/1959,2-May-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167530909?accountid=14696&bdid=91914&_bd=11NNYo2FB2NzQAci8%2Fcm8JPES50%3D,
Conservative Hawaiians Dubious About Benefits From Statehood,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,3/27/1959,27-Mar-59,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167442443?accountid=14696&bdid=91914&_bd=GabQ1vli2SP20nbfddsFwGJeqEo%3D,
Stanford's Hoover Institution Bulwarks Faith in U.S. Ideals,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,11/25/1959,25-Nov-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167565918?accountid=14696&bdid=91914&_bd=DxQhqRWVle2Ug039iK%2FIxOk9y9M%3D,
Some Problems in the Candidacy of a Catholic for the Presidency,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,12/10/1959,10-Dec-59,B5,,B5,4583035,,,ENG,https://www.proquest.com/docview/167551633?accountid=14696&bdid=91914&_bd=hO%2F3cCq4diayIEa9vSibzNh%2FZjE%3D,
Symington: He Looms Large on '60 Horizon,,"Moley, Raymond; Moley, Raymond, Jr",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/24/1959,24-Oct-59,B4,,B4,4583035,,,ENG,https://www.proquest.com/docview/167529130?accountid=14696&bdid=91914&_bd=y69T8gec5LMp2PtwOgvBZIUSjVA%3D,
Space Shots Create Cosmic Complexes,,"Moley, Raymond, Jr",Los Angeles Times (1923-1995),Historical Newspapers,,,,9/23/1959,23-Sep-59,B4,,B4,4583035,,,ENG,https://www.proquest.com/docview/167553815?accountid=14696&bdid=91914&_bd=MUPVEovXAHmJIKsSdMAwXWp4GaY%3D,
"Polls, Statistics, Common Sense---and Political Prospects for 1960",,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,5/3/1959,3-May-59,B5,,b5,4583035,,,ENG,https://www.proquest.com/docview/167397570?accountid=14696&bdid=91914&_bd=aVJFqkn9JWSdtEdJlWGcHL0%2B%2B%2Bk%3D,
Princeton Exercise in Political Thought,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/27/1959,27-Jan-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167413599?accountid=14696&bdid=91914&_bd=DKYV25FjW8FJOb0n19GwqOOOKjw%3D,
A Hopeful Humphrey Faces Some Hurdles,,"Moley, Raymond, Jr",Los Angeles Times (1923-1995),Historical Newspapers,,,,10/3/1959,3-Oct-59,B4,,B4,4583035,,,ENG,https://www.proquest.com/docview/167543776?accountid=14696&bdid=91914&_bd=pNNlV9bxWLhVMzc81ZnnHWcPVh0%3D,
British Deserve U.S. Sympathy Over Their Dependency Troubles,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,1/19/1960,19-Jan-60,B5,,,4583035,,,ENG,https://www.proquest.com/docview/167623291?accountid=14696&bdid=91914&_bd=TXEJaPu7PZ%2FYxR1c2DN5d6dgHaA%3D,
Integration Ruling Under Alabama Test,,"Moley, Raymond",Los Angeles Times (1923-1995),Historical Newspapers,,,,2/19/1959,19-Feb-59,B4,,,4583035,,,ENG,https://www.proquest.com/docview/167468427?accountid=14696&bdid=91914&_bd=4Yq67Xxo6%2B7YIX5k1f9jqcTMchM%3D,
