"","code","segment","coverage","date_bak","date","year"
"638","Domestic Policy Misc","Months ago this page observed that
preeminent leadership in the defense setup
would probably never come as the result
of a voluntary delegation of power by the
President. The President is not the man to
specify with exactitude what a subordinate
shall or shall not do. Those around him
who have acquired the most power have
got it by reaching out for it. Jesse Jones,
Ickes, Morgenthau, Hopkins and Hender-
son have all followed this pattern. They
have achieved power to the degree in
which they have sought it.",6.69,"1941-10-13batch8_101_page0.txt",1941-10-13,1941
"639","Economy","The Supply, Priorities, and Allocations Board, said the first writers to comment on the new board, was controlled by New Dealers. It had as members, they pointed out, such New Deal pillars as Vice President Wallace, Harry Hopkins, Leon Henderson and Sidney Hillman or, in other words, a majority of the board. But unless it can be said that the New Deal in every possible change must ever remain the same, then it is difficult to follow this particular deal among many deals now springing up in Washington. Certainly it is difficult to describe what has happened in terms of the old labels.

What is recognizably New Deal about SPAB's policies in the economic equivalent of war? Its members, in their first press statement, are preparing to restore the economy of scarcity.",10.28,"1941-09-15batch8_104_page0.txt",1941-09-15,1941
"640","New Deal critique","The Supply, Priorities, and Allocations Board, said the first writers to comment on the new board, was controlled by New Dealers. It had as members, they pointed out, such New Deal pillars as Vice President Wallace, Harry Hopkins, Leon Henderson and Sidney Hillman or, in other words, a majority of the board. But unless it can be said that the New Deal in every possible change must ever remain the same, then it is difficult to follow this particular deal among many deals now springing up in Washington. Certainly it is difficult to describe what has happened in terms of the old labels.

What is recognizably New Deal about SPAB's policies in the economic equivalent of war? Its members, in their first press statement, are preparing to restore the economy of scarcity.",10.28,"1941-09-15batch8_104_page0.txt",1941-09-15,1941
"641","New Deal critique\Criticism of FDR aides","Some of Mr. Wallace's naïve ideas about American industry, as set forth in his various books, compel us to examine this statement with more than casual interest. If memory still serves, the New Deal was launched on a program of raising prices all around, restoring parity to the farmer by a scarcity economy, lifting wages, shortening hours, building up labor's rights and spreading the income, if not the wealth. A rapid look at this program, in the light of the melancholy duties of the new board, makes it doubtful whether the SPAB members would like to dwell upon it.",7.59,"1941-09-15batch8_104_page0.txt",1941-09-15,1941
"642","Economy","More and more often in the past
month a sinister and little-understood
word has appeared in the news. It is the
word ""inflation."" People have been asking
anxiously about it. I have received many
letters raising questions about it. The fol-
lowing are typical questions. The answers
may or may not be useful. But they are
based upon replies to questions of my own
addressed to the best authorities I know.",5.31,"1941-07-14batch8_113_page0.txt",1941-07-14,1941
"643","Political analysis\FDR analysis - even handed","7—Does the Administration recognize
the failure of present methods, and what is
it going to do about it? Last week the
breakdown was generally admitted in
Washington. But legislation authorizing
price regulation which includes wages and
farm products does not seem likely to
emerge from Congress or to be requested
in specific terms by the Administration. A
halfway price fixing that did not include
wages and agricultural prices would not be
effective because they are among the basic
elements of the cost of manufactured
goods. But beyond this, even a general
price-fixing law could not do more than
retard inflation unless demand is held
down to fit supply by taxes and by vari-
ous restrictions and channelings of de-
mand.",9.56,"1941-07-14batch8_113_page0.txt",1941-07-14,1941
"644","Supreme Court","I might have been worse, of course.
The President might have appointed as
Chief Justice of the United States one
of the ""five young men"" already there.
Instead he promoted a man whose
record, capacity and attainments entitle
him to stand without embarrassment
with his twelve predecessors who have
held that high office. For this relief,
much thanks.",4.83,"1941-06-23batch8_116_page0.txt",1941-06-23,1941
"645","Political analysis\FDR analysis - even handed","I might have been worse, of course.
The President might have appointed as
Chief Justice of the United States one
of the ""five young men"" already there.
Instead he promoted a man whose
record, capacity and attainments entitle
him to stand without embarrassment
with his twelve predecessors who have
held that high office. For this relief,
much thanks.",4.83,"1941-06-23batch8_116_page0.txt",1941-06-23,1941
"646","Economy\Business","The oil industry itself, if it had a work-
able relationship with the government,
could do the job. But the industry has
been hampered by the feud between Wash-
ington and the states and by the fear that
cooperation in the present emergency may
later be prosecuted as a violation of the
antitrust laws. Oil people are convinced
that the Federal government has been
trying to establish a permanent Federal
dictatorship over them since 1933.",6.06,"1941-06-23batch8_116_page0.txt",1941-06-23,1941
"647","Foreign Policy / War","When people find themselves in the
midst of a lot of open powder kegs, it
doesn’t matter who opened the kegs but
who is carrying the matches. The state of
war that seems so close may be brought
about by any one of many different fac-
tors—imminent factors. It may be precipi-
tated by the weakness and the shortsight-
edness of the Vichy government. It may
be precipitated by the fatalism or caprice
of a Japanese faction. And it may be pre-
cipitated by the stupidity of German pol-
icy. This last is the most likely of the pos-
sibilities. It has happened before. It was
the Kaiser’s declaration of unrestricted
submarine warfare that set things off in
1917. But in any case, over all these cir-
cumstances the purposes of average Ameri-
cans have little control.",10.04,"1941-05-26batch8_119_page0.txt",1941-05-26,1941
"648","Journalism-Media","For the past week the American
Society of Newspaper Editors, the Asso-
ciated Press, the American Newspaper
Publishers Association and the National
Editorial Association have been meeting.
Together, their conferences amount to the
annual national conclave of the fourth
estate in this country. The importance
of these meetings to the people of this
still free America is incalculable, and their
significance to those who participate in
them is probably greater than it has ever
been. For the part the press will play in
the months and years ahead may be a de-
finitive factor in the fight to preserve free-
dom in the United States.",8.62,"1941-04-28batch8_123_page0.txt",1941-04-28,1941
"649","Misc","Mr. Ickes is officially our competent
Secretary of the Interior. But he is likely
to be remembered as the most vocal of all
critics of the press in an Administration
that has never been sparing of press criti-
cism. Immediately after the election he set
off the attack with a barbed query con-
cerning the press in its relation to the cam-
paign. He pointed out that in 1932, 40 per
cent of the daily press supported Mr.
Roosevelt; in 1936, 36 per cent supported
him; and in 1940, only 23 per cent sup-
ported him. This, declared Mr. Ickes, re-
vealed “an unprecedented and progressive-
ly perilous situation.”",8.32,"1941-04-28batch8_123_page0.txt",1941-04-28,1941
"650","Notable writing","The press will not crumble away be-
cause it does not or will not anticipate
the election returns. It will die only when
it loses its faith—the faith that makes
it try—and try to an ever-increasing de-
gree—to report the news objectively, keep
the public as fully informed as the na-
tional security permits, separate fact from
opinion and propaganda with scrupulous
care, and fight for those ideals essential
to the preservation of a free press and a
free people.",6.33,"1941-04-28batch8_123_page0.txt",1941-04-28,1941
"651","Economy","Seven weeks have passed since the Federal Reserve Board, through its chairman, Marriner Eccles, made a number of considered proposals designed to retard inflation—that somber companion of war and preparations for war. Nothing has been done to further this program.",3.41,"1941-03-03batch8_131_page0.txt",1941-03-03,1941
"652","Labor","Any suggestion by a labor leader
that doesn't have to do with a specific la-
bor dispute, these days, is apt to be greeted
with whoopings and hosannas as states-
manship of the purest ray serene. The re-
sponse to Mr. Philip Murray's ""CIO De-
fense Plan"" is no exception. Hailed as
proof that labor is far ahead of manage-
ment in its awareness of the larger implica-
tions of defense, the plan turns out, on ex-
amination, to be a shortsighted piece of
special pleading.",6.1,"1941-02-17batch8_132_page0.txt",1941-02-17,1941
"653","YELLOW","There is a grim irony in this proposal to
change our concept of management. Gen-
erations of labor leaders have advocated
the divorcement of management and own-
ership so that management—free and inde-
pendent management—could act as media-
tor of the varying claims of labor, consum-
ers and owners or investors. In no small
part because of the advocacy of these labor
leaders, management has gone far toward
achieving that position in the past twenty
years. The Murray plan would destroy the
new balance in the industrial structure. It
would substitute for the nineteenth-cen-
tury subserviency of managers to owners
a subserviency of managers to labor and
government. Independence, and the bene-
fits it brings, would go aglimmering. The
cycle of reaction would be complete.
The Murray plan, however vague and
tentative it may now be, is important as an
indication of what the future seems to hold.",11.67,"1941-02-17batch8_132_page0.txt",1941-02-17,1941
"654","Foreign Policy / War","It is a fair guess that in the absence of
actual war there will be no complete domination of Congress by the President. There
will be no overwhelmingly large and tractable Administration bloc. True, the Democratic majority is roughly the same as it
was in the 76th Congress, but the issues
now current will cut across party lines with
unpredictable abandon.",4.44,"1941-01-06batch8_141_page0.txt",1941-01-06,1941
"655","Political analysis","It is a fair guess that in the absence of
actual war there will be no complete domination of Congress by the President. There
will be no overwhelmingly large and tractable Administration bloc. True, the Democratic majority is roughly the same as it
was in the 76th Congress, but the issues
now current will cut across party lines with
unpredictable abandon.",4.44,"1941-01-06batch8_141_page0.txt",1941-01-06,1941
"656","Political analysis\FDR analysis - even handed","For these reasons, if for no others, the
President's job will be exceedingly difficult.
That is why he may move with more cautiousness in foreign affairs than some of those
who supported him in the election will relish. He will be criticized by many who
believed that he would give the British
more help than he is giving. On the other
hand, he will be hammered for neglecting
our own defenses to help England. Both
sides are apt to be unreasonable with him,
and to grow increasingly vociferous as the
foreign situation gets more dangerous.",6.72,"1941-01-06batch8_141_page0.txt",1941-01-06,1941
"657","Foreign Policy / War","Finally, whether this year will see us in
the war will, in part, at least, depend upon
Congress.",1.19,"1941-01-06batch8_141_page0.txt",1941-01-06,1941
"658","Political analysis\Promote GOP unity and cause","The form that the opposition may take
is still an indeterminate question. It must
be part of a rejuvenated Republican party.
The independents and Democrats must be
provided for in some way. And it is im-
portant that it give no justification to the
charge that it is a movement shaped on
un-American lines, that it is ""Fascist"" or
what not. But primarily it must have con-
structive things to do. It cannot and
should not live solely on criticism of the
Roosevelt Administration. Nor can it live
on resolutions and public meetings.",6.9,"1940-12-09batch8_145_page0.txt",1940-12-09,1940
"659","Domestic Policy Misc","Here is a field for crusaders. Building
good government close at home may not
seem as exciting as trying to elect a Pres-
ident. But it's an indescribably instructive
and useful process. That it is also a first-
rate test of the crusaders' sincerity and de-
termination should be obvious.",3.74,"1940-12-09batch8_145_page0.txt",1940-12-09,1940
"660","Political analysis\Election related advocacy","Now just a word about the current
Gallup Poll. And understand, I am not
trying to explain it away. But it's im-
portant to note Dr. Gallup's cautions in
presenting it. The European crisis, he says,
is throwing all calculations askew this year,
and international affairs may turn the
tide one way or the other again in the
weeks ahead. The election still lies in a
group of states stretching from Massa-
chusetts to Colorado-states that contain
the balance of power in this country. A
shift of only 4 per cent in eleven states
would throw them in Willkie's column.
Mr. Roosevelt's gains have been halted or


reversed in fifteen vital states-among
them New York, Ohio, Illinois, California,
Michigan and Missouri-in the past two
weeks.

Those who feel that Mr. Willkie's elec-
tion would be preferable to Mr. Roosevelt's
would do well to recognize how much their
candidate has been harassed, how many
votes have been driven away from him by
their petty criticism of his radio delivery
and the like.",13.58,"1940-10-14batch8_151_page0.txt",1940-10-14,1940
"661","Political analysis\Wilkie","But this is not a picture of defeat. It
is a picture of integrity and courage knock-
ing at the door of the American people at
a moment when they need them most.
There is still time for the American people
to open that door.",3.05,"1940-10-14batch8_151_page0.txt",1940-10-14,1940
"662","Labor","A Threat to Defense
Attorney General Jackson's latest
ruling-that companies judged by the
National Labor Relations Board to be
guilty of unfair labor practices shall be
barred from further government contracts
-is a perfect example of bureaucratic op-
pression. The Attorney General in giving
the ruling cites no law that may be so in-
terpreted. He offers no logic to justify his
conclusion. He simply says: ""It seems too
clear to admit of controversy... that the
findings of the National Labor Relations
Board... are binding and conclusive upon
the other agencies of the executive branch
of the government unless and until these
findings are reversed by a court of compe-
tent jurisdiction.""",9.44,"1940-10-14batch8_151_page0.txt",1940-10-14,1940
"663","Political analysis\Dem criticism","Much store was set by the Chicago
convention on the selection of a candidate
for the Vice Presidency in this third-term
campaign. So much, actually, that the
ideas of Mr. Wallace about our Constitution, of whose traditions the third-term attempt is itself a violation, warrant a little
more publicity than they have had to
date.",4.48,"1940-09-02batch8_156_page0.txt",1940-09-02,1940
"664","Foreign Policy / War","The meaning of current attempts to
link the destinies of the United States,
Britain and Canada would be a great
deal clearer if two or three basic pieces of
information were confided to the American people. There have been oceans of
talk about the history and tradition of
Anglo-American cooperation on foreign
policy, about the essential community
of British and American interests and
about the desirability of British-American
""union."" But the immediate conditions
that prompt such talk have been kept
pretty much in the background during
the past two weeks. The word that is
going the rounds now, by way of explaining the extraordinary moves that are being made in England and the United
States, is the word that though Britain
may hold off Germany this fall, the
long-time outlook for Britain is very
much darker than anyone would have
supposed a few short months ago.",11.93,"1940-09-02batch8_156_page0.txt",1940-09-02,1940
"665","Notable writing","And a man who is big enough to wel-
come this close inspection is the kind of
man that voters want—or ought to want.
On that basis of judgment, Wendell L.
Willkie's acceptance speech revealed a big
man and an honest, shrewd, courageous
and practical one.",3.3,"1940-08-26batch8_157_page0.txt",1940-08-26,1940
"666","Political analysis\Wilkie","nd a man who is big enough to wel-
come this close inspection is the kind of
man that voters want—or ought to want.
On that basis of judgment, Wendell L.
Willkie's acceptance speech revealed a big
man and an honest, shrewd, courageous
and practical one",3.27,"1940-08-26batch8_157_page0.txt",1940-08-26,1940
"667","Economy\Business","The debate over amortization concerns
only the amount which can be charged out
of income for admittedly risky ventures.
Industry is still willing to take the risk,
still willing to sell securities, or offer
them for sale, provided the SEC will give
permission and the Internal Revenue
Bureau will allow the possible profits to
be used first to write off the investment
in the time which history has suggested
it is likely to have to be written off. If
there are no profits—if the government
is smarter than the competing industries—
then the whole investment is a loss, tem-
porarily or permanently. If the govern-
ment has lent the money, then it gets the
factory back and the industry is out its
time and trouble.",9.29,"1940-08-26batch8_157_page0.txt",1940-08-26,1940
"668","Notable writing","In Cyrano de Bergerac, it will be remembered, the majestic hero made it explicit that the word ""nose"" should never be mentioned in his presence. It was like that at Chicago last week. Only it was not the nose that was not to be mentioned. It was the third-term tradition. When Representative Ryan tried to bring up the subject for debate and consideration, he was suppressed as promptly as Einstein would have been at the recent meeting of Hitler's Reichstag.",6.22,"1940-07-29batch8_161_page0.txt",1940-07-29,1940
"669","New Deal critique\FDR_criticism","Avoidance of the horrid words ""third term"" continued throughout Mr. Roosevelt's speech of acceptance. It was complete. The implication left by the speech was that the only hesitation Mr. Roosevelt ever entertained about running again sprang not from the fact that an honored and cherished tradition stood in the way of a third term for one hundred and fifty years, but from his personal plans for private life. The speech sounded like a kindly sermon delivered by an old king who wanted to say that he would carry on a little longer, despite his desire to turn over his burden to his heir. This, apparently, is the light in which Mr. Roosevelt looks upon his situation, and it is a light which leaves American institutions in strange, portentous shadows.",10.22,"1940-07-29batch8_161_page0.txt",1940-07-29,1940
"670","Notable writing","But the speech, while full of regal unction, was nevertheless defensive. And in that defensiveness alone can we detect the realization on Mr. Roosevelt's part that he and his party were attempting to destroy something that millions of people consider infinitely precious in our democracy.",3.9,"1940-07-29batch8_161_page0.txt",1940-07-29,1940
"671","Foreign Policy / War",". Only if government and business work and plan together can we offer Latin America the prospect of growing into a strong, balanced economic organism. And unless we do, there is no security against her falling under foreign influences.",3.12,"1940-06-10batch8_168_page0.txt",1940-06-10,1940
"672","Political analysis\GOP Party politics","But there is a movement within the Republican party that seriously threatens to injure the party’s chances. At the very least, it will nullify an advantage the Republicans now have over the Democrats.",2.59,"1940-05-06batch8_172_page0.txt",1940-05-06,1940
"673","Political analysis\Dewey","It was then, roughly, that a number of influential Eastern Republicans began commiserating with one another and all comers about the foreign policies of Dewey and Taft.",2.18,"1940-05-06batch8_172_page0.txt",1940-05-06,1940
"674","Foreign Policy / War","All this is to suggest that the loose use of the terms “interventionism” or “isolationism” is a poor way to argue the relative merits of Dewey, Taft or Roosevelt. There are plenty of ways of arguing for one or the other of them without reading unjustified meanings into what they are saying about foreign affairs.",4.06,"1940-05-06batch8_172_page0.txt",1940-05-06,1940
"675","Economy","he present controversy over the size of
unemployment in the United States was
well summarized by Ralph Robey in last
week’s issue of NEWSWEEK. In brief, a
number of commentators have seriously
challenged the general accuracy of current
unemployment figures promulgated by labor organizations and by various private
agencies.",4.29,"1940-04-01batch8_179_page0.txt",1940-04-01,1940
"676","Political analysis\Dem criticism","Until now their greatest embarrassment
has been the fact that their own figures
show they have done little in seven years
to reduce the number of unemployed—a
duty which was underlined in the President’s first inaugural address. Suddenly
there come these interesting figures that
they might use, in the blurry confusion of
a political campaign, to claim that things
are about as good as they were in 1929.",5.36,"1940-04-01batch8_179_page0.txt",1940-04-01,1940
"677","New Deal critique","Until now their greatest embarrassment
has been the fact that their own figures
show they have done little in seven years
to reduce the number of unemployed—a
duty which was underlined in the President’s first inaugural address. Suddenly
there come these interesting figures that
they might use, in the blurry confusion of
a political campaign, to claim that things
are about as good as they were in 1929.",5.36,"1940-04-01batch8_179_page0.txt",1940-04-01,1940
"678","Political analysis\Dem criticism","It seems to be the order of the day
for smart alecks of all stripes to sneer at
the report of the Republican Program
Committee. Headed by Glenn Frank, this
committee has worked for two years on a
general report for the consideration of the
public and the Republican Resolutions
Committee next June. It has produced an
impressive document, persuasive in many
respects, clear and definite far beyond most
party statements.",5.75,"1940-03-04batch8_183_page0.txt",1940-03-04,1940
"679","YELLOW","If the Frank report represents Republican opinion, then the Republican party has whizzed forward through eons of philosophic time since 1932",1.92,"1940-03-04batch8_183_page0.txt",1940-03-04,1940
"680","Political analysis\Promote GOP unity and cause","In the main, the Frank program shows as much thought, care and political realism as the program the Roosevelt Democrats offered in 1932. If the Republicans actually follow this line and if they emerge with a candidate who looks and talks as if he could be believed, they will offer a tempting choice to the voters next November.",4.49,"1940-03-04batch8_183_page0.txt",1940-03-04,1940
"681","Labor","A certain amount of mental suffering and disillusionment must have been the lot of Senator Robert F. Wagner in recent weeks. These, at any rate, have been the experience of every other person who had a degree of confidence in the National Labor Relations Board when it was set up by the Wagner-Connery Act nearly five years ago. The House committee's disclosures of domineering and reckless procedures on the part of the Board's personnel have led to general wonderment about what will happen to the Act or the Board or both. That the present membership of the Board will be drastically changed seems all but certain. That the Act will be amended in any material way soon is less likely.",9.41,"1940-03-04batch8_183_page0.txt",1940-03-04,1940
"682","Labor","No abstract exhortation about the dangers of power could have a fraction of the persuasiveness of the concrete demonstration provided last week by the House committee headed by Howard W. Smith —the committee which is investigating the National Labor Relations Board.

The investigation committee has revealed that under an arrangement made last year, the RFC agreed to withhold loans from companies if a charge had been filed with the NLRB alleging unfair labor practices against that company. Chairman J. Warren Madden of the NLRB stated that he understood that the RFC had a similar arrangement with the Wage-Hour Administration. Mr. Jesse Jones, Federal Loan Administrator, admitted that loans had been withheld from companies under such circumstances.",10.02,"1940-02-26batch8_184_page0.txt",1940-02-26,1940
"683","Political analysis","We now have a President who has built up a bureaucracy capable of such a use of power as the NLRB investigation reveals. The President has appointed a majority of the Supreme Court. He continues to enjoy the exercise of extraordinary powers granted him by Congress in time of an emergency that is apparently endless. Among them are the power to inflate the currency; the power to conclude trade agreements with other countries without reference to Congress, which includes the authority to raise or lower existing duties by 50 per cent; the discretionary powers involving farm benefits granted by the Soil Conservation and Domestic Allotment Act of 1936; and the power to fail to find that a state of war abroad actually is a state of war.",9.81,"1940-02-26batch8_184_page0.txt",1940-02-26,1940
"684","Political analysis\Dem criticism","This statement makes the picture very clear. First we elect a President who sets up a bureaucracy. Then the bureaucracy, by one means or another, begins to chisel away the economic rights of a group of citizens. Then, when members of this group raise their voices in protest, a chief bureaucrat, Mr. Ickes, tells them that to exercise their constitutional right to criticize the Executive or their government is “a sin against free enterprise, individual liberty, political democracy.”

Mr. Ickes forgets that the “sin” he describes is “sin” for which great and good men have given up their lives. It is the basis of American liberty.",8.42,"1940-02-26batch8_184_page0.txt",1940-02-26,1940
"685","Political analysis\Democratic Party politics","It's reasonable to assume, at the outset, that the Democratic Presidential candidate will come from among these:

The mystery candidate—Franklin D. Roosevelt.

The contingent candidates—Mr. McNutt, Mr. Farley, and almost every other Federal officeholder above the rank of bureau chief.

The potential candidates—Hull, whom popular demand and some pushing would make formidable; and Supreme Court Justice William O. Douglas, who is the alternative candidate of the Draft-Roosevelt Democrats in Washington.

The lone-wolf candidate—Mr. Wheeler.

The unconditional candidate—Mr. Garner.",7.94,"1940-01-01batch8_193_page0.txt",1940-01-01,1940
"686","Political analysis\Roosevelt","Mr. Roosevelt's position on a third-term candidacy is likely to remain indefinite for some time. Good observers judge that he will not, either in his Jackson Day speech or for some time thereafter, go beyond saying that he has no ambition to run again, that his greatest desire is to have the party under ""liberal"" leadership and that he will fight for that kind of leadership.

This is what is known in politics as a negative ambiguity. It seems like a refusal. It nevertheless closes no doors. It leaves Mr. Roosevelt available as a candidate who can be drafted in an ""emergency."" It permits him to urge leaders friendly to him to obtain uninstructed delegations in states where that is possible. Meantime, the chances are that he has personally reached no final decision, and, unless he steps drastically out of character, he will wait for time and circumstance to shape his decision for him.",12.19,"1940-01-01batch8_193_page0.txt",1940-01-01,1940
"687","Economy\fiscal conservatism","Next week the people of two great
states, California and Ohio, are facing a
vital test of representative government at
the polls. They are voting, in California,
on Ham-and-Eggs and, in Ohio, on the
Bigelow scheme. Both plans are expres-
sions of the same economic philosophy—
the belief that government spending can
create prosperity. Both spell out this false
premise in fantastic political and economic
terms (see page 25). Both promise mis-
guided people benefits which cannot conceivably be achieved. Both, if passed,
would bankrupt their states.",7.7,"1939-11-06batch8_204_page0.txt",1939-11-06,1939
"688","New Deal critique\FDR_criticism","That this demand for a forceful govern-
ment has usually brought about greater
executive power, to the point of practically
one-man rule, is also true. But we cannot
assume that this tendency in the past will
or should be characteristic of all emer-
gencies. A strong government need not be
a one-man government. The British Gov-
ernment in wartime is not a one-man
government. It remains a Cabinet govern-
ment, with great influence by Parliament
at all times.

A strong government for a crisis must be
a wise, intelligent government, in which
the people have implicit confidence. It
should, in this country, comprise the
closest practicable union of the Executive
with the leaders of Congress. The latter
should include both major parties and
both of the well-defined factions of the
Democratic majority.",11.09,"1939-09-11batch8_214_page0.txt",1939-09-11,1939
"689","Political analysis\Democratic Party politics","**Rout on the Left**

Of all those who have been even
mildly sympathetic to the Soviet experi-
ment, the editors of The New Republic
have been the most realistic. The Stalin-
Hitler agreement has hit even them a stag-
gering blow.",3.17,"1939-09-11batch8_214_page0.txt",1939-09-11,1939
"690","New Deal critique\FDR_criticism","It begins to look as if the Democratic party is selecting a new emblem.  The Democratic donkey is to give way to the bear.

From the debacle of the Administration's program in Congress there have emerged crystalline issues for the campaign in 1940. The avalanche of defeat that began with the denial of President Roosevelt's request for the repeal of the arms embargo was devastating. It was so devastating, in fact, that it seems to have jolted from the leader of the party statements he may well wish he hadn't made.

Not only in arguing for the defeated measures but in regretting their loss, Mr. Roosevelt made predictions that only foreign and domestic disaster will satisfy.  The President selected the familiar economic barometer—the condition of business—to express his regrets. Business, he announced, will be poorer because of the action of Congress. Businessmen will hesitate to make commitments not only because of the failure of his arms-embargo repeal, and its effect upon the international situation, but because of the failure of the spend-lend program.

These are clear forecasts. Mr. Roosevelt used none of the fire-escape phrases usually employed by statistical analysts. So forthright are his predictions that people who have been supposing all along that a good business year in 1940 would help elect a Democratic Administration must reconsider their opinion.",18.49,"1939-08-14batch8_217_page0.txt",1939-08-14,1939
"691","Labor","But if labor finds itself being ""coordinated"" by Washington, its leaders politically tied in at the top, one important reason will be that we believed the machinery of bargaining would settle all labor problems and, relying upon it, fostered the emotions that broke it down.",3.67,"1939-08-14batch8_217_page0.txt",1939-08-14,1939
"692","New Deal critique","As for the WPA, the time has come for it to be returned to its original purposes, as fill-in employment for destitute people. The WPA management could well remove some of the sources of the demand for the restrictions in the bill by altering its policies, just as the National Labor Relations Board has finally seen eye to eye with those employers who felt they had a right to appeal to it for elections in jurisdictional disputes. Some of that kind of prudence would have helped head off changes which WPA officers deem needlessly crude in the present bill.",7.51,"1939-07-03batch8_226_page0.txt",1939-07-03,1939
"693","Notable writing","**Cordell Hull**

I n any appraisal of Democratic
possibilities for next year, one unques-
tioned advantage must be given to Cor-
dell Hull. He is a ranking member of
Roosevelt's Administration, yet he is ex-
onerated from responsibility for its mis-
takes.",3.34,"1939-06-26batch8_227_page0.txt",1939-06-26,1939
"694","Political analysis\Democratic Party politics","In speculating upon the possible candi-
dacy of Mr. Hull in 1940, I am reminded
of the comment by Benjamin Franklin
concerning the sun carved upon George
Washington's chair in the Constitutional
Convention of 1787. ""I have wondered,""
said Franklin, ""if that sun is rising or set-
ting."" Mr. Hull's honorable career might
end in the White House if the sun of un-
restricted international trade should once
more rise to fullness. And it must not only
rise: it must rise in 1940.",6.19,"1939-06-26batch8_227_page0.txt",1939-06-26,1939
"695","Political analysis\FDR analysis - even handed","Now, at last, the office has been freed of Treasury domination and placed securely under the control of the President.  The six administrative assistants for the President, authorized under the Reorganization Act, have not yet been appointed. But the President makes provocative comment about these jobs in his message. Their purpose, he says will be to help the President ""get information and condense and summarize it."" His playing down of the importance of these officials is presumably advance justification of the decision not to appoint two of his closest young advisers to those posts and to let them operate, as heretofore, from bases outside the White House. But it would be ungenerous to cavil over this one slight incongruity in a generally constructive move.",10.05,"1939-05-08batch8_234_page0.txt",1939-05-08,1939
"696","Notable writing","I don't care in the least what effect my writing has on his or anybody else's candidacy. I'm not a politician. I'm a journalist.",1.69,"1939-04-10batch8_238_page0.txt",1939-04-10,1939
"697","Political analysis\Democratic Party politics","No man has exercised more power in Congress over the years than Mr. Garner. It is a power that does not rest on patronage. The vitality of his mind, the ripeness of his political judgment, the warmth of his affection, his unfailing, unmitigated honesty have compelled the admiration of Republicans as well as Democrats, of radicals and conservatives, Easterners and Westerners. All this despite the tradition that the Vice Presidency is a role of impotence.

Mr. Garner has made a throne out of a political sarcophagus.",6.84,"1939-04-10batch8_238_page0.txt",1939-04-10,1939
"698","Political analysis\Promote GOP unity and cause","The Republican party has more
spring in its step and a better song in its
heart than it’s had for ten years. It’s look-
ing younger every month. This was in-
evitable after the elections in November
which—despite the Rooseveltian thesis
that what happened at the polls then had
nothing to do with him—have properly
been described as a drift away from the
recent New Deal excesses and toward the
ancient faith of moderation and caution.
Even more exhilarating to the Republican
party is the obvious fact that the rift in
the Democratic party is yawning wider
and wider. It begins to seem for the first
time since 1929 that possibly, just possibly,
the Republicans may land their candidate
in the White House.",9.06,"1939-03-27batch8_240_page0.txt",1939-03-27,1939
"699","Political analysis\Dewey","Thomas Dewey has a considerable lead in
the preferences of those articulate people
who express themselves in polls or in public
prints. His lead is based upon the long-
established fact that the most complete-
ly satisfactory American whipping boy
throughout the country is a strange and
little understood creature known as Tam-
many Hall",4.33,"1939-03-27batch8_240_page0.txt",1939-03-27,1939
"700","Political analysis\Wilkie","There have been a few timid “feelers”
about Wendell Willkie as a possible candi-
date. It is true that he has shown, in his
long battle with the Administration, as
much capacity to think, speak and act
effectively as any man we have in business
or public life today. Brilliant, resourceful,
experienced, well-schooled in public affairs,
he might conceivably go far with the
generally futile slogan of “a businessman
for President.” But I cannot imagine a
convention composed of politicians ventur-
ing to nominate a businessman in 1940,
regardless of his ability.",7.22,"1939-03-27batch8_240_page0.txt",1939-03-27,1939
"701","Political analysis\Conservative Politics","To be successful, the Republicans need a
candidate who is cut in the pattern of the
times. He must seem capable of clearing
up some of the debris that the intense
activities of the New Deal have left
scattered around. He must be able to
capitalize on the growing drift toward
conservatism in this country. And yet,
somehow he must make it clear that he
knows 1932 marked the end of an era in
American history. To define that position
exactly, to make it convincing in a world
that loves white and black but mistrusts
grays, will be one of the most difficult
exercises in political technique that a
candidate for the Presidency has ever faced.",8.23,"1939-03-27batch8_240_page0.txt",1939-03-27,1939
"702","New Deal critique\FDR_criticism","The issues raised by the FCC affair and
by the Amlie appointment to the ICC go
back to a question of fundamental im-
portance in appraising this Administra-
tion. It is my belief that fair-minded peo-
ple who have become critical of things in
Washington have not objected so much to
the character of the laws the President has
forced through Congress as they have to
the quality of the men who have been
chosen to administer them. For the most
part, the President has shown a singular
inability to appoint men to the great in-
dependent commissions who are of suffi-
cient stature to be entrusted with the dis-
cretion that the law gives them. The evi-
dences run all the way through the FTC,
the TVA, the ICC and, notably, the
NLRB.",9.77,"1939-02-06batch8_247_page0.txt",1939-02-06,1939
